App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
I Creative Idea,ART_AND_DESIGN,4.7,353,4.2,10000.0,Free,0.0,Teen,Art & Design,2018-04-27,1.6,4.1
How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564,9.2,100000.0,Free,0.0,Everyone,Art & Design,2018-07-11,2.1,4.1
UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145,24.0,500000.0,Free,0.0,Everyone,Art & Design;Creativity,2018-08-02,1.0.9,4.4
PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11.0,10000.0,Free,0.0,Everyone,Art & Design,2017-11-29,1.3,4.0.3
How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4.0,591,9.4,500000.0,Free,0.0,Everyone,Art & Design,2018-03-31,1,4.0
Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,15.0,10000.0,Free,0.0,Everyone,Art & Design,2018-07-20,2.0.1,4.0.3
Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10.0,100000.0,Free,0.0,Everyone,Art & Design,2018-04-02,1.0,4.0.3
Paint Splash!,ART_AND_DESIGN,3.8,2206,1.2,100000.0,Free,0.0,Everyone,Art & Design;Creativity,2018-04-15,1.46,4.1
Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26,12.0,10000.0,Free,0.0,Everyone,Art & Design,2018-01-03,1.0.0,4.1
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24.0,10000000.0,Free,0.0,Everyone,Art & Design,2018-07-31,1.6.1,4.1
Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070,26.0,100000.0,Free,0.0,Everyone,Art & Design,2017-11-14,1.6,4.1
Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85,8.0,100000.0,Free,0.0,Everyone,Art & Design,2017-12-17,2.0.0,4.1
How To Draw Food,ART_AND_DESIGN,4.3,845,7.9,100000.0,Free,0.0,Everyone,Art & Design,2018-05-28,1.0,2.3
Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-05-10,1.0,4.0.3
Real Tractor Farming,AUTO_AND_VEHICLES,4.0,1598,56.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,11.0,4.1
Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,284,57.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1
American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129,35.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1
Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542,33.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-31,4.0,4.1
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-18,1.7.1,4.0
Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5.6,50000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-29,2.5.1,4.4
Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1
Restart Navigator,AUTO_AND_VEHICLES,4.0,1403,0.1962890625,100000.0,Free,0.0,Everyone,Auto & Vehicles,2014-08-26,1.0.1,2.2
"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3.6,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,2.493,4.4
CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7,10000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-08,1.9.1,4.0.3
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-03,1.7,4.2
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8.6,1000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-28,2.20,4.1
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-06-12,1.37,4.0
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-03,1.7,4.2
Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2.7,10000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,0.2.1,4.4
Used Cars Mexico,AUTO_AND_VEHICLES,4.0,190,2.5,50000.0,Free,0.0,Everyone,Auto & Vehicles,2016-10-14,1.0,2.3
Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,52530,7.0,5000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-16,4.47.3,4.0.3
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986,35.0,5000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,1.9.7,4.0.3
SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,1379,16.0,500000.0,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,2.2.21,4.2
PDD-UA,AUTO_AND_VEHICLES,4.8,736,11.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-29,2.9,2.3.3
Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17.0,500000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-27,1.79,4.0
Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197,3.4,50000.0,Free,0.0,Everyone,Auto & Vehicles,2018-06-14,1.3,4.0
"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8.9,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-06-08,2.3.5.1,4.1
Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574,3.9,1000000.0,Free,0.0,Everyone 10+,Auto & Vehicles,2018-07-04,1.6,4.0
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-03-27,1.6,4.1
Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136,38.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-15,8.31,4.1
Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142,32.0,50000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-24,1.1.5.0,6.0
PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,15168,37.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-27,10.0.2,4.2
Supervision service,AUTO_AND_VEHICLES,4.0,2155,15.0,500000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,1.10.3,5.0
Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,138,5.4,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-23,1.0,4.0.3
Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,5414,18.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-23,3.20.1,4.4
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-29,1.0.3,2.3
RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,1.1,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-04-27,1.4,4.0.3
SMS Park,AUTO_AND_VEHICLES,4.5,3617,7.9,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-05-16,2.8.2,4.1
SKencar,AUTO_AND_VEHICLES,3.7,4806,35.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-31,4.0.3,4.0.3
auto fines,AUTO_AND_VEHICLES,4.6,31433,17.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,1.40,4.0.3
"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097,19.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-23,1.5.18,4.0.3
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4.0,1754,14.0,500000.0,Free,0.0,Everyone,Auto & Vehicles,2018-06-02,2.3.4,4.0
Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680,2.2,500000.0,Free,0.0,Everyone,Auto & Vehicles,2018-03-20,1.03,4.0.3
Gas Station,AUTO_AND_VEHICLES,4.0,1288,4.5,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-04-21,2.17,4.0
Hush - Beauty for Everyone,BEAUTY,4.7,18900,17.0,500000.0,Free,0.0,Everyone,Beauty,2018-08-02,6.10.1,5.0
"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14.0,1000000.0,Free,0.0,Everyone,Beauty,2017-11-09,2.3.0,4.1
Natural recipes for your beauty,BEAUTY,4.7,1150,9.8,100000.0,Free,0.0,Everyone,Beauty,2018-05-15,4.0,4.1
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21.0,500000.0,Free,0.0,Everyone,Beauty,2018-07-12,1.0.6,4.0.3
Beauty Selfie Camera,BEAUTY,4.2,2225,52.0,500000.0,Free,0.0,Everyone,Beauty,2018-02-28,1.6,4.1
Hairstyles step by step,BEAUTY,4.6,4369,14.0,100000.0,Free,0.0,Everyone,Beauty,2018-07-25,1.9,4.0.3
Filters for Selfie,BEAUTY,4.3,8572,25.0,1000000.0,Free,0.0,Everyone,Beauty,2018-05-10,1.1.0,4.0
Tie - Always be happy,BEAUTY,4.7,964,9.0,50000.0,Free,0.0,Everyone,Beauty,2018-06-21,4.0,4.2
Ulta Beauty,BEAUTY,4.7,42050,11.0,1000000.0,Free,0.0,Everyone,Beauty,2018-06-05,5.4,5.0
Prom MakeUp Tutorial,BEAUTY,4.8,104,12.0,10000.0,Free,0.0,Everyone,Beauty,2018-06-26,1.3,4.0.3
Sweet Selfie Beauty Camera,BEAUTY,4.3,601,35.0,100000.0,Free,0.0,Everyone,Beauty,2018-06-02,2.0.0,4.0
Colors of white in Urdu,BEAUTY,4.5,36,6.7,10000.0,Free,0.0,Everyone,Beauty,2018-07-26,6.0,4.0
Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,187,30.0,50000.0,Free,0.0,Teen,Beauty,2018-07-24,3.0.1,4.0.3
Wrinkles and rejuvenation,BEAUTY,4.17505184823716,182,5.7,100000.0,Free,0.0,Everyone 10+,Beauty,2017-09-20,8.0,3.0
Eyes Makeup Beauty Tips,BEAUTY,4.2,30,2.9,10000.0,Free,0.0,Everyone,Beauty,2018-04-09,3.3.9,4.0.3
Photo Editor 2018,BEAUTY,4.5,134,17.0,10000.0,Free,0.0,Everyone,Beauty,2018-03-01,1.20,4.0.3
Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2.9,10000.0,Free,0.0,Everyone,Beauty,2018-04-05,2.3.09,4.0.3
Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315,2.6,1000000.0,Free,0.0,Everyone,Beauty,2017-11-21,1.4.2,4.0
Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75,4.2,50000.0,Free,0.0,Everyone,Beauty,2017-10-18,1.0.0,4.0.3
Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7.1,10000.0,Free,0.0,Everyone,Beauty,2018-05-29,1.0,4.0
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,26834,57.0,1000000.0,Free,0.0,Everyone,Beauty,2018-07-24,18.5,5.0
Manicure - nail design,BEAUTY,4.17505184823716,119,3.7,50000.0,Free,0.0,Everyone,Beauty,2018-07-23,1.3,4.1
"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277,22.0,500000.0,Free,0.0,Everyone,Beauty,2018-07-12,1.1.0,4.0.3
Filters for B Live,BEAUTY,4.4,2280,24.0,500000.0,Free,0.0,Everyone,Beauty,2018-05-14,1.1.0,4.0
Skin Care and Natural Beauty,BEAUTY,4.17505184823716,654,7.4,100000.0,Free,0.0,Teen,Beauty,2018-07-17,1.15,4.1
Facial Wrinkle Reduction,BEAUTY,4.6,184,21.0,10000.0,Free,0.0,Everyone,Beauty,2018-07-02,1.5,4.1
Makeup Videos,BEAUTY,3.8,9,3.4,5000.0,Free,0.0,Everyone,Beauty,2018-06-07,1.0,4.0
"Secrets of beauty, youth and health",BEAUTY,4.17505184823716,77,2.9,10000.0,Free,0.0,Mature 17+,Beauty,2017-08-08,2.0,2.3
Recipes and tips for losing weight,BEAUTY,4.17505184823716,35,3.1,10000.0,Free,0.0,Everyone 10+,Beauty,2017-12-11,2.0,3.0
Discover Color,BEAUTY,4.0,364,6.4,100000.0,Free,0.0,Everyone,Beauty,2018-05-24,1.1,4.0.3
Eyeliner step by step 2018,BEAUTY,4.3,18,3.2,5000.0,Free,0.0,Everyone,Beauty,2018-06-01,1.2.13,4.0.3
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2,100000.0,Free,0.0,Mature 17+,Beauty,2017-03-01,1.0.2.0,1.6
"Lady adviser (beauty, health)",BEAUTY,4.17505184823716,30,9.9,10000.0,Free,0.0,Mature 17+,Beauty,2018-01-24,3.0,3.0
Step By Step Hairstyles For Women,BEAUTY,4.1,66,2.9,10000.0,Free,0.0,Everyone,Beauty,2018-04-05,3.1.89,4.0.3
Rainbow Camera,BEAUTY,3.7,3871,23.0,1000000.0,Free,0.0,Everyone,Beauty,2018-07-30,2.2.0,4.0
Methods of teeth whitening,BEAUTY,4.7,257,4.6,50000.0,Free,0.0,Everyone,Beauty,2017-08-07,1.0,4.0.3
Girls hairstyles 2018,BEAUTY,4.2,62,3.1,10000.0,Free,0.0,Everyone,Beauty,2018-05-28,1.9.2,4.0.3
E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,1857,4.9,50000.0,Free,0.0,Everyone,Books & Reference,2018-08-03,1.3.2,4.4
Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478,9.5,100000.0,Free,0.0,Everyone 10+,Books & Reference,2017-07-31,1.1,4.0
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4.2,100000.0,Free,0.0,Everyone,Books & Reference,2018-03-27,2.1,4.1
Book store,BOOKS_AND_REFERENCE,4.4,22486,5.4,1000000.0,Free,0.0,Teen,Books & Reference,2018-06-06,3.2.1,4.0
English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,1435,2.8,500000.0,Free,0.0,Everyone,Books & Reference,2018-01-21,1.0,4.0
Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4.8,116507,5.0,1000000.0,Free,0.0,Teen,Books & Reference,2018-08-01,2.0.075,4.0.3
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5.9,5000000.0,Free,0.0,Everyone,Books & Reference,2018-05-27,1.911805270,2.3
Offline English Dictionary,BOOKS_AND_REFERENCE,4.2,860,13.0,100000.0,Free,0.0,Everyone,Books & Reference,2018-07-17,1.0,4.0.3
Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,4.1,363934,7.1,10000000.0,Free,0.0,Everyone,Books & Reference,2018-07-11,9.1.363,4.1
Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4.7,967,6.7,500000.0,Free,0.0,Everyone,Books & Reference,2018-08-04,1.1.6,4.0.3
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17.0,1000000.0,Free,0.0,Everyone,Books & Reference,2018-07-20,2.3.18,4.1
Cloud of Books,BOOKS_AND_REFERENCE,3.3,1862,19.0,1000000.0,Free,0.0,Everyone,Books & Reference,2018-04-27,2.2.5,4.1
Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4.6,2084,6.7,500000.0,Free,0.0,Everyone,Books & Reference,2018-05-17,15.0,2.3
ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4.8,47303,21.0,1000000.0,Free,0.0,Everyone,Books & Reference,2018-06-02,18.05.31,4.1
Anonymous caller detection,BOOKS_AND_REFERENCE,4.17505184823716,161,2.7,10000.0,Free,0.0,Everyone,Books & Reference,2018-07-13,1.0,2.3
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37.0,5000000.0,Free,0.0,Everyone,Books & Reference,2018-06-25,5.0.6,4.0
Litnet - E-books,BOOKS_AND_REFERENCE,4.6,7831,15.0,100000.0,Free,0.0,Teen,Books & Reference,2018-07-04,1.2.3,4.0
Read books online,BOOKS_AND_REFERENCE,4.1,91615,23.0,5000000.0,Free,0.0,Mature 17+,Books & Reference,2018-06-29,3.12,4.1
English to Urdu Dictionary,BOOKS_AND_REFERENCE,4.6,4620,19.0,500000.0,Free,0.0,Everyone,Books & Reference,2017-11-23,2.0,4.0.3
eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4.7,21336,23.0,1000000.0,Free,0.0,Everyone,Books & Reference,2018-06-20,1.28,3.0
English Persian Dictionary,BOOKS_AND_REFERENCE,4.5,26875,73.0,500000.0,Free,0.0,Everyone,Books & Reference,2018-08-01,6.0.8,4.0.3
Flybook,BOOKS_AND_REFERENCE,3.9,1778,4.9,500000.0,Free,0.0,Mature 17+,Books & Reference,2014-10-16,1.0.3,2.1
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6.8,1000000.0,Free,0.0,Everyone,Books & Reference,2018-07-11,1.9,4.4
HTC Help,BOOKS_AND_REFERENCE,4.2,8342,11.0,10000000.0,Free,0.0,Everyone,Books & Reference,2017-08-28,9.00.950462,7.0
English translation from Bengali,BOOKS_AND_REFERENCE,4.5,527,2.9,100000.0,Free,0.0,Everyone,Books & Reference,2018-03-31,14.0,4.0
Pdf Book Download - Read Pdf Book,BOOKS_AND_REFERENCE,4.4,1322,3.5,100000.0,Free,0.0,Everyone,Books & Reference,2018-05-28,6.0,4.0.3
Free Book Reader,BOOKS_AND_REFERENCE,3.4,1680,4.0,100000.0,Free,0.0,Everyone,Books & Reference,2016-08-20,3.05,4.0.3
eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4.9,2739,21.0,50000.0,Free,0.0,Everyone,Books & Reference,2018-07-17,2.0,3.0
"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4.6,1065,2.3,500000.0,Free,0.0,Everyone,Books & Reference,2018-06-16,1.5,3.0
SH-02J Owner's Manual (Android 8.0),BOOKS_AND_REFERENCE,4.17505184823716,2,7.2,50000.0,Free,0.0,Everyone,Books & Reference,2018-06-15,3.0,6.0
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10.0,1000000.0,Free,0.0,Everyone,Books & Reference,2018-07-28,2.5.3,4.0
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269,6.1,1000000.0,Free,0.0,Everyone,Books & Reference,2018-07-19,7.0.4.6,4.2
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,2.1,1000000.0,Free,0.0,Everyone,Books & Reference,2018-07-29,1.15,4.0.3
Azpen eReader,BOOKS_AND_REFERENCE,3.5,156,42.0,500000.0,Free,0.0,Everyone,Books & Reference,2018-02-15,3.1.7.9,2.2
URBANO V 02 instruction manual,BOOKS_AND_REFERENCE,4.17505184823716,114,7.3,100000.0,Free,0.0,Everyone,Books & Reference,2015-08-07,1.1,5.1
English Dictionary - Offline,BOOKS_AND_REFERENCE,4.4,341157,30.0,10000000.0,Free,0.0,Everyone 10+,Books & Reference,2018-03-20,3.9.1,4.2
ADP Mobile Solutions,BUSINESS,4.3,85185,29.0,5000000.0,Free,0.0,Everyone,Business,2018-07-17,3.4.2,5.0
Google My Business,BUSINESS,4.4,70991,11.0,5000000.0,Free,0.0,Everyone,Business,2018-07-24,2.19.0.204537701,4.4
OfficeSuite : Free Office + PDF Editor,BUSINESS,4.3,1002861,35.0,100000000.0,Free,0.0,Everyone,Business,2018-08-02,9.7.14188,4.1
USPS MOBILE®,BUSINESS,3.9,16589,9.1,1000000.0,Free,0.0,Everyone,Business,2018-06-14,4.9.10,4.0.3
Job Search by ZipRecruiter,BUSINESS,4.8,148945,25.0,1000000.0,Free,0.0,Everyone,Business,2018-07-19,5.2.8,5.0
Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.5,4458,3.9,500000.0,Free,0.0,Everyone,Business,2018-07-08,3.3,4.1
Google Primer,BUSINESS,4.4,62272,18.0,10000000.0,Free,0.0,Everyone,Business,2018-06-26,3.550.2,4.1
Alba Heaven - Alvarez Job Portal Services,BUSINESS,4.0,8941,12.0,5000000.0,Free,0.0,Everyone,Business,2018-07-31,4.6.30,4.0.3
SuperLivePro,BUSINESS,4.3,46353,21.0,1000000.0,Free,0.0,Everyone,Business,2016-04-13,2.8,1.5
Polaris Office for LG,BUSINESS,4.2,30847,55.0,5000000.0,Free,0.0,Everyone,Business,2018-02-08,7.3.21,4.1
Call Blocker,BUSINESS,4.6,188841,3.2,5000000.0,Free,0.0,Everyone,Business,2018-06-21,1.1.13,4.0
Plugin:AOT v5.0,BUSINESS,3.1,4034,0.0224609375,100000.0,Free,0.0,Everyone,Business,2015-09-11,3.0.1.11,2.2
Kariyer.net,BUSINESS,3.9,45964,16.0,1000000.0,Free,0.0,Everyone,Business,2018-07-18,5.1.5,4.1
Become a Job - Find a job or advertise,BUSINESS,4.1,6903,14.0,1000000.0,Free,0.0,Everyone,Business,2018-07-10,2.3.6,4.1
ZOOM Cloud Meetings,BUSINESS,4.4,31614,37.0,10000000.0,Free,0.0,Everyone,Business,2018-07-20,4.1.28165.0716,4.0
Facebook Ads Manager,BUSINESS,4.1,19023,11.0,1000000.0,Free,0.0,Everyone,Business,2018-08-01,99.0.0.35.75,4.1
"IndiaMART: Search Products, Buy, Sell & Trade",BUSINESS,4.5,207372,11.0,5000000.0,Free,0.0,Everyone,Business,2018-08-02,12.2.4,4.0
ViettelPost express delivery,BUSINESS,4.4,1225,25.0,100000.0,Free,0.0,Everyone,Business,2018-08-01,1.0.6.8,4.1
